| hostname | job_id| fail_time           | category | reason | description                      | text     | jf_id   | nodes
| titan    |2967942| 2016-09-13 09:45:08 | hardware | system | GPU DBE                          | Node c20-4c1s7n1 GPU DBE on GPU|2904666|c20-4c1s7n1
| titan    |2967944| 2016-09-13 17:32:25 | software | system | GPU XID                          | Node c17-2c1s6n0 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|2904720|c17-2c1s6n0
| titan    |2967944| 2016-09-13 17:32:25 | hardware | system | GPU DBE                          | Node c17-2c1s6n0 GPU DBE on GPU|2904717|c17-2c1s6n0
| titan    |2967946| 2016-09-13 17:39:02 | software | system | GPU BUS                          | Node c11-2c2s1n2 GPU 0000:02:00.0 off the bus|2904912|c11-2c2s1n2
| titan    |2968750| 2016-09-14 01:22:00 | software | system | GPU XID                          | Node c5-7c2s1n0 GPU Xid 62 PMU communication error|2904921|c5-7c2s1n0
| titan    |2968750| 2016-09-14 01:22:00 | hardware | system | GPU DBE                          | Node c5-7c2s1n0 GPU DBE on GPU|2904918|c5-7c2s1n0
| titan    |2968710| 2016-09-14 06:40:20 | hardware | system | Machine Check Exception          | Node c24-2c0s0n2 Core 8 Machine Check Exception Bank 4 Status f300000400190127 Addr 0000000000000000 Socket 0|2904930|c24-2c0s0n2
| titan    |2967721| 2016-09-14 07:05:47 | software | system | GPU BUS                          | Node c5-3c2s3n3 GPU 0000:02:00.0 off the bus|2904933|c5-3c2s3n3
| titan    |2969627| 2016-09-14 15:28:11 | software | system | GPU BUS                          | Node c6-0c1s4n1 GPU 0000:02:00.0 off the bus|2904945|c6-0c1s4n1
| titan    |2970313| 2016-09-14 19:32:09 | software | system | GPU XID                          | Node c0-4c2s4n0 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|2904957|c0-4c2s4n0
| titan    |2970313| 2016-09-14 19:32:09 | hardware | system | GPU DBE                          | Node c0-4c2s4n0 GPU DBE on GPU|2904954|c0-4c2s4n0
| titan    |2970313| 2016-09-14 19:32:12 | software | system | GPU BUS                          | Node c0-4c2s4n0 GPU 0000:02:00.0 off the bus|2904981|c0-4c2s4n0 c20-3c1s4n0
| titan    |2969625| 2016-09-14 23:49:35 | software | system | GPU XID                          | Node c15-0c2s2n2 GPU Xid 62 PMU communication error|2904990|c15-0c2s2n2
| titan    |2969625| 2016-09-14 23:49:35 | hardware | system | GPU DBE                          | Node c15-0c2s2n2 GPU DBE on GPU|2904987|c15-0c2s2n2
| titan    |2970034| 2016-09-15 05:52:05 | software | system | GPU BUS                          | Node c10-2c2s5n1 GPU 0000:02:00.0 off the bus|2905002|c10-2c2s5n1
| titan    |2969817| 2016-09-15 07:28:49 | hardware | system | GPU DBE                          | Node c12-3c2s4n1 GPU DBE on GPU|2905005|c12-3c2s4n1
| titan    |2970020| 2016-09-15 07:31:40 | hardware | system | GPU DPR                          | Node c2-1c2s5n1 GPU DPR on Page 0000000000009878|2905008|c2-1c2s5n1
| titan    |2969644| 2016-09-15 11:09:09 | hardware | system | GPU DBE                          | Node c23-3c1s0n2 GPU DBE on GPU|2905011|c23-3c1s0n2
| titan    |2968426| 2016-09-15 21:29:01 | software | system | GPU XID                          | Node c18-0c2s3n3 GPU Xid 62 PMU communication error|2905023|c18-0c2s3n3
| titan    |2968426| 2016-09-15 21:29:01 | hardware | system | GPU DBE                          | Node c18-0c2s3n3 GPU DBE on GPU|2905020|c18-0c2s3n3
| titan    |2973013| 2016-09-16 02:11:14 | software | system | GPU XID                          | Node c24-6c2s6n0 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|2905035|c24-6c2s6n0
| titan    |2973013| 2016-09-16 02:11:14 | hardware | system | GPU DBE                          | Node c24-6c2s6n0 GPU DBE on GPU|2905032|c24-6c2s6n0
| titan    |2973805| 2016-09-16 14:22:54 | software | system | GPU XID                          | Node c22-1c1s2n1 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|2905242|c22-1c1s2n1
| titan    |2973805| 2016-09-16 14:22:54 | hardware | system | GPU DBE                          | Node c22-1c1s2n1 GPU DBE on GPU|2905239|c22-1c1s2n1
| titan    |2973805| 2016-09-16 14:22:54 | hardware | system | GPU DPR                          | Node c22-1c1s2n1 GPU DPR on Page 000000000009b9cc|2905248|c22-1c1s2n1
| titan    |2968325| 2016-09-16 18:12:01 | software | system | GPU BUS                          | Node c19-1c2s4n2 GPU 0000:02:00.0 off the bus|2905254|c19-1c2s4n2
| titan    |2969345| 2016-09-16 19:54:35 | hardware | system | Machine Check Exception          | Node c9-2c2s6n3 Core 8 Machine Check Exception Bank 4 Status fe00a000c6080a13 Addr 00000005da613590 Socket 0|2905257|c9-2c2s6n3
| titan    |2969214| 2016-09-16 20:09:42 | hardware | system | GPU DPR                          | Node c21-4c2s0n1 GPU DPR on Page 000000000002b9fe|2905260|c21-4c2s0n1
| titan    |2974293| 2016-09-16 20:42:45 | software | system | GPU BUS                          | Node c7-5c2s7n2 GPU 0000:02:00.0 off the bus|2905263|c7-5c2s7n2
| titan    |2974195| 2016-09-17 04:59:37 | software | system | GPU BUS                          | Node c18-0c0s5n1 GPU 0000:02:00.0 off the bus|2905272|c18-0c0s5n1
| titan    |2974259| 2016-09-17 08:44:22 | hardware | system | GPU DBE                          | Node c9-0c2s3n0 GPU DBE on GPU|2905275|c9-0c2s3n0
| titan    |2974970| 2016-09-17 13:01:03 | software | system | GPU XID                          | Node c23-0c2s1n0 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|2905281|c23-0c2s1n0
| titan    |2974970| 2016-09-17 13:01:03 | hardware | system | GPU DBE                          | Node c23-0c2s1n0 GPU DBE on GPU|2905278|c23-0c2s1n0
| titan    |2969689| 2016-09-17 20:32:46 | hardware | system | GPU DBE                          | Node c12-2c1s6n1 GPU DBE on GPU|2905287|c12-2c1s6n1
| titan    |2969689| 2016-09-17 20:32:51 | software | system | GPU BUS                          | Node c8-0c2s0n1 GPU 0000:02:00.0 off the bus|2905290|c8-0c2s0n1 c12-2c1s6n1
| titan    |2959725| 2016-09-17 22:18:25 | software | system | LBUG                             | Node c8-4c0s1n0 LBUG in niobuf.c:733:ptl_send_rpc()|2905296|c8-4c0s1n0
| titan    |2976601| 2016-09-18 03:13:33 | software | system | GPU XID                          | Node c6-1c0s7n2 GPU Xid 43 GPU stopped processing|2905302|c6-1c0s7n2
| titan    |2972181| 2016-09-18 07:16:33 | software | system | GPU XID                          | Node c11-0c2s4n2 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|2905308|c11-0c2s4n2
| titan    |2972181| 2016-09-18 07:16:33 | hardware | system | GPU DBE                          | Node c11-0c2s4n2 GPU DBE on GPU|2905305|c11-0c2s4n2
| titan    |2972181| 2016-09-18 07:16:33 | hardware | system | GPU DPR                          | Node c11-0c2s4n2 GPU DPR on Page 0000000000052911|2905356|c11-0c2s4n2
| titan    |2975103| 2016-09-18 13:09:46 | hardware | system | GPU DBE                          | Node c15-5c2s0n2 GPU DBE on GPU|2905395|c15-5c2s0n2
| titan    |2954053| 2016-09-18 22:03:49 | software | system | GPU XID                          | Node c16-6c1s7n1 GPU Xid 62 PMU communication error|2905407|c16-6c1s7n1
| titan    |2954053| 2016-09-18 22:03:49 | hardware | system | GPU DBE                          | Node c16-6c1s7n1 GPU DBE on GPU|2905404|c16-6c1s7n1
| titan    |2975317| 2016-09-19 01:45:40 | software | system | GPU XID                          | Node c5-5c2s6n2 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|2905413|c5-5c2s6n2
| titan    |2975317| 2016-09-19 01:45:40 | hardware | system | GPU DBE                          | Node c5-5c2s6n2 GPU DBE on GPU|2905410|c5-5c2s6n2
| titan    |2977842| 2016-09-19 07:13:34 | hardware | system | GPU DBE                          | Node c22-4c2s7n0 GPU DBE on GPU|2905605|c22-4c2s7n0
| titan    |2978119| 2016-09-19 08:04:11 | software | system | Kernel Panic                     | threshold_trigg:  Fatal exception|2905611|c21-1c0s3n3
| titan    |2978119| 2016-09-19 08:04:11 | hardware | system | Machine Check Exception          | Node c21-1c0s3n3 MCE Threshold CPU 0|2905608|c21-1c0s3n3
| titan    |2976482| 2016-09-19 08:07:47 | software | system | GPU XID                          | Node c13-3c2s1n1 GPU Xid 62 PMU communication error|2905617|c13-3c2s1n1
| titan    |2976482| 2016-09-19 08:07:47 | hardware | system | GPU DBE                          | Node c13-3c2s1n1 GPU DBE on GPU|2905614|c13-3c2s1n1
| titan    |2977916| 2016-09-21 03:32:06 | software | system | GPU BUS                          | Node c5-1c2s4n1 GPU 0000:02:00.0 off the bus|2905689|c5-1c2s4n1
| titan    |2980650| 2016-09-21 07:04:37 | software | system | GPU XID                          | Node c21-5c2s6n3 GPU Xid 62 PMU communication error|2905704|c21-5c2s6n3
| titan    |2980650| 2016-09-21 07:04:37 | hardware | system | GPU DBE                          | Node c21-5c2s6n3 GPU DBE on GPU|2905701|c21-5c2s6n3
| titan    |2981674| 2016-09-21 08:45:29 | software | system | GPU BUS                          | Node c14-1c2s4n0 GPU 0000:02:00.0 off the bus|2905707|c14-1c2s4n0
| titan    |2981068| 2016-09-21 10:54:59 | hardware | system | GPU DBE                          | Node c8-6c2s1n0 GPU DBE on GPU|2905710|c8-6c2s1n0
| titan    |2982369| 2016-09-21 15:12:16 | software | system | GPU XID                          | Node c6-1c0s5n0 GPU Xid 43 GPU stopped processing|2905731|c6-1c0s5n0
| titan    |2978995| 2016-09-21 15:31:22 | software | system | GPU XID                          | Node c11-4c2s1n1 GPU Xid 62 PMU communication error|2916060|c11-4c2s1n1
| titan    |2978995| 2016-09-21 15:31:22 | hardware | system | GPU DBE                          | Node c11-4c2s1n1 GPU DBE on GPU|2916057|c11-4c2s1n1
| titan    |2954054| 2016-09-21 16:54:56 | hardware | system | GPU DBE                          | Node c22-3c2s4n0 GPU DBE on GPU|2905749|c22-3c2s4n0
| titan    |2954054| 2016-09-21 16:55:31 | software | system | GPU XID                          | Node c22-3c2s4n0 GPU Xid 61 |2905752|c22-3c2s4n0
| titan    |2973620| 2016-09-21 21:45:09 | software | system | GPU BUS                          | Node c12-2c1s7n0 GPU 0000:02:00.0 off the bus|2926323|c12-2c1s7n0
| titan    |2982117| 2016-09-22 14:33:49 | software | system | GPU XID                          | Node c22-5c1s7n2 GPU Xid 62 PMU communication error|2926419|c22-5c1s7n2
| titan    |2982117| 2016-09-22 14:33:49 | hardware | system | GPU DBE                          | Node c22-5c1s7n2 GPU DBE on GPU|2926416|c22-5c1s7n2
| titan    |2983473| 2016-09-22 17:57:53 | software | system | GPU XID                          | Node c12-7c2s7n0 GPU Xid 62 PMU communication error|2926431|c12-7c2s7n0
| titan    |2983473| 2016-09-22 17:57:53 | hardware | system | GPU DBE                          | Node c12-7c2s7n0 GPU DBE on GPU|2926428|c12-7c2s7n0
| titan    |2985137| 2016-09-23 00:48:24 | software | system | GPU XID                          | Node c15-3c2s4n0 GPU Xid 62 PMU communication error|2926329|c15-3c2s4n0
| titan    |2985137| 2016-09-23 00:48:24 | hardware | system | GPU DBE                          | Node c15-3c2s4n0 GPU DBE on GPU|2926326|c15-3c2s4n0
| titan    |2985177| 2016-09-23 02:12:54 | software | system | GPU XID                          | Node c13-1c1s7n1 GPU Xid 62 PMU communication error|2926335|c13-1c1s7n1
| titan    |2985177| 2016-09-23 02:12:54 | hardware | system | GPU DBE                          | Node c13-1c1s7n1 GPU DBE on GPU|2926332|c13-1c1s7n1
| titan    |2980525| 2016-09-23 02:14:03 | software | system | LBUG                             | Node c0-6c1s3n1 LBUG in niobuf.c:733:ptl_send_rpc()|2926338|c0-6c1s3n1 c1-6c1s3n0 c11-7c1s3n0
| titan    |2980525| 2016-09-23 02:14:03 | software | system | Kernel Panic                     | ptlrpcd_03_03:  LBUG|2926341|c0-6c1s3n1 c1-6c1s3n0 c11-7c1s3n0
| titan    |2984512| 2016-09-23 05:00:09 | hardware | system | GPU DBE                          | Node c15-6c2s0n1 GPU DBE on GPU|2926356|c15-6c2s0n1
| titan    |2984512| 2016-09-23 05:00:11 | software | system | GPU XID                          | Node c15-6c2s0n1 GPU Xid 62 PMU communication error|2926359|c15-6c2s0n1
| titan    |2983946| 2016-09-23 10:41:03 | software | system | GPU BUS                          | Node c16-1c2s7n0 GPU 0000:02:00.0 off the bus|2926371|c16-1c2s7n0
| titan    |2984409| 2016-09-23 13:36:53 | software | system | GPU XID                          | Node c15-0c2s5n1 GPU Xid 62 PMU communication error|2926380|c15-0c2s5n1
| titan    |2984409| 2016-09-23 13:36:53 | hardware | system | GPU DBE                          | Node c15-0c2s5n1 GPU DBE on GPU|2926377|c15-0c2s5n1
| titan    |2983711| 2016-09-23 21:47:08 | software | system | GPU XID                          | Node c7-4c2s4n0 GPU Xid 62 PMU communication error|2926398|c7-4c2s4n0
| titan    |2983711| 2016-09-23 21:47:08 | hardware | system | GPU DBE                          | Node c7-4c2s4n0 GPU DBE on GPU|2926395|c7-4c2s4n0
| titan    |2983715| 2016-09-23 22:17:28 | software | system | LBUG                             | Node c9-4c1s3n3 LBUG in niobuf.c:733:ptl_send_rpc()|2926401|c9-4c1s3n3
| titan    |2983715| 2016-09-23 22:17:28 | software | system | Kernel Panic                     | ptlrpcd_01_00:  LBUG|2926404|c9-4c1s3n3
| titan    |2971190| 2016-09-24 01:09:53 | software | system | GPU XID                          | Node c8-5c2s3n2 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|2926488|c8-5c2s3n2
| titan    |2971190| 2016-09-24 01:09:53 | hardware | system | GPU DBE                          | Node c8-5c2s3n2 GPU DBE on GPU|2926485|c8-5c2s3n2
| titan    |2974429| 2016-09-24 01:27:14 | hardware | system | Machine Check Exception          | Node c15-5c1s1n3 Core 8 Machine Check Exception Bank 4 Status fe76a00040080a13 Addr 00000005ac88a8b0 Socket 0|2926560|c15-5c1s1n3
| titan    |2984176| 2016-09-24 04:06:15 | software | system | GPU BUS                          | Node c20-7c2s2n1 GPU 0000:02:00.0 off the bus|2926563|c20-7c2s2n1
| titan    |2984176| 2016-09-24 06:15:43 | hardware | system | GPU DPR                          | Node c4-4c1s5n0 GPU DPR on Page 00000000000ca9d0|2926566|c4-4c1s5n0
| titan    |2984949| 2016-09-24 08:10:36 | software | system | GPU XID                          | Node c23-1c2s4n0 GPU Xid 62 PMU communication error|2926572|c23-1c2s4n0
| titan    |2984949| 2016-09-24 08:10:36 | hardware | system | GPU DBE                          | Node c23-1c2s4n0 GPU DBE on GPU|2926569|c23-1c2s4n0
| titan    |2985985| 2016-09-24 11:45:08 | hardware | system | GPU DBE                          | Node c3-7c2s3n2 GPU DBE on GPU|2926575|c3-7c2s3n2
| titan    |2985985| 2016-09-24 11:45:09 | software | system | GPU XID                          | Node c3-7c2s3n2 GPU Xid 62 PMU communication error|2926578|c3-7c2s3n2
| titan    |2985451| 2016-09-24 12:04:18 | hardware | system | GPU DBE                          | Node c6-6c2s6n2 GPU DBE on GPU|2926581|c6-6c2s6n2
| titan    |2985451| 2016-09-24 12:04:21 | software | system | GPU XID                          | Node c6-6c2s6n2 GPU Xid 61 |2926584|c6-6c2s6n2
| titan    |2985993| 2016-09-24 16:35:43 | software | system | GPU XID                          | Node c23-6c2s4n1 GPU Xid 62 PMU communication error|2926593|c23-6c2s4n1 c21-6c2s4n2
| titan    |2985993| 2016-09-24 16:35:43 | hardware | system | GPU DBE                          | Node c23-6c2s4n1 GPU DBE on GPU|2926590|c23-6c2s4n1 c21-6c2s4n2
| titan    |2988169| 2016-09-25 01:59:52 | software | system | GPU XID                          | Node c22-0c1s0n1 GPU Xid 62 PMU communication error|2926608|c22-0c1s0n1
| titan    |2988169| 2016-09-25 01:59:52 | hardware | system | GPU DBE                          | Node c22-0c1s0n1 GPU DBE on GPU|2926605|c22-0c1s0n1
| titan    |2984124| 2016-09-25 03:23:58 | software | system | GPU BUS                          | Node c17-5c2s5n3 GPU 0000:02:00.0 off the bus|2926611|c17-5c2s5n3
| titan    |2984120| 2016-09-25 06:45:23 | software | system | GPU XID                          | Node c7-5c2s3n0 GPU Xid 32 Invalid or corrupted push buffer stream|2926614|c7-5c2s3n0
| titan    |2988900| 2016-09-25 08:14:51 | software | system | LBUG                             | Node c11-7c1s3n1 LBUG in niobuf.c:733:ptl_send_rpc()|2926620|c11-7c1s3n1
| titan    |2985467| 2016-09-25 08:31:05 | software | system | GPU BUS                          | Node c12-6c2s3n0 GPU 0000:02:00.0 off the bus|2926626|c12-6c2s3n0
